Disease	Threshold	Group	Overlap	DiseaseSetSize	p_value	neg_log10p
MS	0.05	Adult	4	289	0.03798986843977712	1.4203322104194247
MS	0.05	Child	18	289	0.013838388232671743	1.8589144895338046
MS	0.1	Adult	3	225	0.07590974934223114	1.1197024426338653
MS	0.1	Child	15	225	0.013394413215099705	1.8730763072910215
MS	0.2	Adult	2	183	0.19082752109044057	0.7193589912891707
MS	0.2	Child	12	183	0.028217820885110552	1.5494765275807099
MS	0.3	Adult	2	144	0.13106134028747557	0.8825253950821654
MS	0.3	Child	8	144	0.1344607204841665	0.8714045659843184
MS	0.4	Adult	1	111	0.38609446417073834	0.41330642525327954
MS	0.4	Child	7	111	0.09571304006245915	1.0190288893770787
MS	0.5	Adult	1	69	0.26137763447864015	0.5827315768092978
MS	0.5	Child	7	69	0.010431617889197504	1.9816483295542866
stroke	0.05	Adult	6	260	9.789484285205087e-4	3.009240186438848
stroke	0.05	Child	16	260	0.02159647838362809	1.6656170610364658
stroke	0.1	Adult	6	225	4.5991829086912156e-4	3.337319318267736
stroke	0.1	Child	15	225	0.013394413215099705	1.8730763072910215
stroke	0.2	Adult	6	187	1.7055611083522618e-4	3.768132715690915
stroke	0.2	Child	15	187	0.002532198732621149	2.5965022129146313
stroke	0.3	Adult	6	168	9.490620288974498e-5	4.02270540197995
stroke	0.3	Child	15	168	8.719375891956466e-4	3.05951459951463
stroke	0.4	Adult	6	128	2.0731883173184394e-5	4.683361247130612
stroke	0.4	Child	14	128	1.6326489595051383e-4	3.787107184117315
stroke	0.5	Adult	6	88	2.380966127912631e-6	5.623246782908968
stroke	0.5	Child	11	88	2.5182565351906136e-4	3.5989000303271492
viral	0.05	Adult	5	969	0.41878637964839527	0.3780074514911283
viral	0.05	Child	42	969	0.09251390861222653	1.0337929701857627
viral	0.1	Adult	5	830	0.2975403306068054	0.5264541587661569
viral	0.1	Child	40	830	0.026778435124626104	1.572214805837716
viral	0.2	Adult	4	691	0.35778409862238325	0.4463789651493446
viral	0.2	Child	32	691	0.06777561468325435	1.1689265349450433
viral	0.3	Adult	4	588	0.2561671085379841	0.5914766337539986
viral	0.3	Child	29	588	0.041864778417850815	1.3781512030860317
viral	0.4	Adult	4	459	0.14165151459201605	0.8487787774764894
viral	0.4	Child	24	459	0.034538195459175525	1.461700357057946
viral	0.5	Adult	3	307	0.1512347411689379	0.8203484326121955
viral	0.5	Child	15	307	0.12425364020827753	0.905690879059742
